,text,date,sentiment,score
55,50 dogecoin,2021-05-02,pos,0.668396532535553
56,50 doge fee? Lol,2021-05-02,neg,0.7626966834068298
57,That I did for the doge accepted but got nothing,2021-05-02,neg,0.9917621612548828
58,Why is the transfer fees of doge are high?,2021-05-02,neg,0.839550256729126
59,"Congratulations rue*****@*****com!
 You are the Weekly Lucky Draw Winner of our DOGE Treats Extravaganza! 
You have won USD 50,000 + an Exclusive DOGE NFT 

Check out the top 9 winners here with the highest number of DOGE Points: ",2021-05-02,pos,0.8732293844223022
60,"When doge was around 1 cent the transfer fee was 50 doge, now it is half a dollar and the transfer fees are still 50 doge",2021-05-02,neg,0.9678542613983154
61,Anything about doge,2021-05-03,pos,0.8311828374862671
62,Do someone know about doge future this week,2021-05-03,pos,0.510953962802887
63,Does anyone know why my supercharge rewards aren't being shown? I entered the doge supercharge event and it's ended now but I don't see my rewards in any wallet,2021-05-03,neg,0.9793052077293396
64,If you participated in the Doge Supercharger and accepted your rewards/allocation your Doge will show in the spot wallet on the Exchange.,2021-05-03,pos,0.621540367603302
65,"You are talking about the past Supercharger (Doge) and are sure you accepted your Doge allocation in the App?
Did you login to the Exchange as an existing App user?",2021-05-03,neg,0.8669971227645874
66,Can I invest on dogecoin,2021-05-03,pos,0.7675813436508179
67,Should I buy dogecoin at this rate,2021-05-03,neg,0.6134491562843323
68,Any specific reason why doge is pumping?,2021-05-03,neg,0.830495297908783
69,Doge will also be last man let out the light. Cus it has nothing to back fundamentals,2021-05-03,neg,0.9490565061569214
70,Hey why I can convert my doge to unader coin ? I can contvert just in CRO ?,2021-05-03,neg,0.5597185492515564
71,Why I can't convert my doge just in CRO and not in etherium or bitcoin ?,2021-05-03,neg,0.8638066649436951
72,Why I can convert my doge to unader coin ?,2021-05-03,neg,0.5189961791038513
73,I try to convert my doge coin in to bitcoin !,2021-05-03,neg,0.9372394680976868
74,Why I can't convert my doge to TRON ?,2021-05-03,neg,0.7236785888671875
75,DOGE,2021-05-03,neg,0.6536206603050232
76,"Ew, doge",2021-05-03,neg,0.9774855375289917
77,"Congratulations rue*****@*****com!
 You are the Weekly Lucky Draw Winner of our DOGE Treats Extravaganza! 
You have won USD 50,000 + an Exclusive DOGE NFT 

Check out the top 9 winners here with the highest number of DOGE Points: ",2021-05-03,pos,0.8732293844223022
78,hey guys how u doin? do you know the efficient token like dogecoin? i need some similar coins,2021-05-03,pos,0.9465577602386475
79,doge to the moon ,2021-05-03,pos,0.7701225280761719
80,"Noob token, Doge is future",2021-05-03,pos,0.5628743171691895
81,DOGE coin is up by +16.39%,2021-05-03,neg,0.8748144507408142
82,Where can I buy doge coin,2021-05-03,pos,0.5113743543624878
83,Will doge come down???,2021-05-03,neg,0.8618758916854858
84,What is your view on Dogecoin,2021-05-03,pos,0.9042014479637146
85,Cause that what happened with e-toro people kept on complaining that they should add doge and they did : ),2021-05-03,neg,0.9378541111946106
86,Where is my allocation of Doge after supercharger event??? Or is this a scam by ,2021-05-03,neg,0.9979416728019714
87,Your did not receive your DOGE from the Supercharger ?,2021-05-03,neg,0.995559573173523
88,Buy Dogecoin,2021-05-04,neg,0.7355376482009888
89,Dogecoin going towards 1$,2021-05-04,neg,0.9269199371337891
90,How to earn doge?,2021-05-04,neg,0.850306510925293
91,Should I buy dogecoin now,2021-05-04,pos,0.5245881080627441
92,Doge to the moon,2021-05-04,pos,0.8068202137947083
93,DOGE?,2021-05-04,neg,0.9169747829437256
94,Doge coin incoming deposit is like 30 confirmations and still nothing in my account with the fuck,2021-05-04,neg,0.9918003678321838
95,Dogecoin looks promising,2021-05-04,pos,0.6346209645271301
96,Invest in Dogecoin,2021-05-04,neg,0.7644985318183899
97,Is doge coin is worth?,2021-05-04,neg,0.5860114097595215
98,"Hey guys, what you think how much high doge can go till 8th may ",2021-05-04,pos,0.8669232130050659
99,"Why tf every time doge fly up, the app goes crash...",2021-05-04,neg,0.9560522437095642
100,I just check my app and I don't have any problem buy and selling doge atm,2021-05-04,pos,0.8863427042961121
101,Can anyone tell me how much dogecoin up in next month,2021-05-04,neg,0.8509051203727722
102,Dogecoin.......,2021-05-04,neg,0.5589774250984192
103,Hope everyone is also making profits with Dogecoin,2021-05-04,pos,0.902815043926239
104,What about doge coin now ?,2021-05-04,neg,0.710812509059906
105,Doge ,2021-05-04,pos,0.5364559888839722
106,I m Holding 5k doge ,2021-05-04,pos,0.6162974834442139
107,"5k Doge is holding YOU!!!!
",2021-05-04,pos,0.7175684571266174
108,Ltc and doge))),2021-05-04,pos,0.6774616837501526
109,Covert USD Into doge ,2021-05-04,neg,0.9585198163986206
110,Should i still hold doge?,2021-05-04,pos,0.622518002986908
111,"I used to buy doge.
Then i took an Arrow to the knee....",2021-05-04,neg,0.9460975527763367
112,Is this a right time to sell doge coin or still hold?,2021-05-04,pos,0.5359347462654114
113,This happened the last time doge was going parabolic!,2021-05-04,neg,0.9749094247817993
114,it's so you can hodl the doge,2021-05-04,pos,0.6706477403640747
115,Go doge  go,2021-05-04,neg,0.641661524772644
116,Doge,2021-05-04,pos,0.5364559888839722
117,"Doge will pump until the 8th, then pump even more after Elon shills it on SNL",2021-05-04,neg,0.982725977897644
118,Doge is flying,2021-05-04,pos,0.6259117126464844
119,Doge is .61 about to hit .62,2021-05-04,neg,0.8262181878089905
120,"Okay mod. Well, if we can get  up before doge hits $1 that would be wonderful.",2021-05-04,neg,0.8590811491012573
121,"It took some effort, but i managed to sell some doge in app...",2021-05-04,neg,0.57625812292099
122,Seriously... i really want to know why every time dogecoin goes up  crashing... is that a joke?,2021-05-04,neg,0.9802343249320984
123,"It's obvious it's to do with dogecoin, it did this 2 or 3 weeks ago when doge went parabolic, and now its doin it again",2021-05-04,neg,0.9377197027206421
124,should i buy dogecoin rn ?,2021-05-04,neg,0.8327981233596802
125,I see anytime dogecoin pump your system goes down,2021-05-04,neg,0.640445351600647
126,"This coin is insane, isn't it?  I have noticed this trend as well, and the tech team is improving the overall system so things do not get traffic-jammed whenever doge/btc moons",2021-05-04,pos,0.7326791882514954
127,is it a good time to buy dogecoin or should i wait,2021-05-04,pos,0.9264302253723145
128,Dogecoin is a fucking monster if averytime got pumped makes crash the apps...,2021-05-04,neg,0.949195921421051
129,Do you think doge. Will go up anymore,2021-05-04,neg,0.7665252685546875
130,Sell doge at .5?,2021-05-04,neg,0.9343952536582947
131,Doge,2021-05-04,pos,0.5364559888839722
132,My dogecoin went brrrrr,2021-05-04,neg,0.9509115815162659
133,How many dogecoin u have,2021-05-04,neg,0.8304378390312195
134,"Sigh. This happened last time Doge spiked too. Today all morning I couldn't get good price readings, spinning wheel as I refreshed. Ended up down a significant percentage of this morning's  gains because of it.  

I will freely admit that I'm relatively new to the market and don't have a ton of money in there, but I will also say as i scale up, Repeated events like this very much damage my confidence in the app, and I'm likely to move my holdings to a different exchange.  

There's no room for this kind of event over and over when the market gets busy. It's one thing when my loss is 500 bucks and another when I go in enough that it could be 5000.  I really like the interface but I have to give you the feedback that right now I would be scared to upgrade my card and invest a large amount based on technical failures when the market gets busy",2021-05-04,neg,0.999470055103302
135,your app is so slow when it comes to doge moonrise,2021-05-04,neg,0.9916551113128662
136,Yes I want doge coin,2021-05-04,pos,0.7261810302734375
137,What about doge coin?,2021-05-04,neg,0.5208414196968079
138,What about doge coin it's 40% plus,2021-05-04,pos,0.5146709680557251
139,Doge Ka future target kya hai,2021-05-04,pos,0.7982136011123657
140,"No, doge instead",2021-05-04,neg,0.9272620677947998
141,Elon and doge,2021-05-04,pos,0.891796886920929
142, Road to 1 dollar.... If doge can arrive there i don't see why CRO shouldn t,2021-05-04,neg,0.9891913533210754
143,But why you give warning I just want about dogecoin,2021-05-04,neg,0.8787210583686829
144,Know about dogecoin,2021-05-04,neg,0.5870513319969177
145,Is it worth investing in doge now?,2021-05-04,pos,0.5783063173294067
146,Doge is a bubble,2021-05-04,neg,0.6084794402122498
147,Just double my profit on doge,2021-05-04,neg,0.9465859532356262
148,I am a lucky man....i bought doge 7 days ago...,2021-05-04,pos,0.6300161480903625
149,Go doge,2021-05-04,neg,0.5985357761383057
150,"Invest in a coin with fundamentals. DOGE doesn't have fundamentals but is a meme coin. It is purely random if DOGE will go up further. It might, it might not. (I hope I am not warned for this statement, as it is purely made of facts and doesn't give any opinions / financial advice apart from investing in a coin with fundamentals)",2021-05-04,neg,0.9997982382774353
151,Any opinion on dogecoin?,2021-05-04,pos,0.6809516549110413
152,Yes its a dogecoin,2021-05-04,pos,0.9464563131332397
153,"Dogelon , will be in ?",2021-05-04,pos,0.6288613080978394
154,"Hi there! My ex-husband was trying to pay me with doge, which I'm thrilled about. But  charged him 50 doge and he only sent 100 (as a test) how can he see what the fees are? Will they charge half for every transfer? TIA",2021-05-04,neg,0.8956943154335022
155,Doge and BNB,2021-05-04,pos,0.9415218830108643
156,Doge is breaking ground,2021-05-04,neg,0.9622814655303955
157,Yo Doge Fan!!!!!,2021-05-04,pos,0.9737923741340637
158,You can't trust doge it's risky,2021-05-04,pos,0.5600295066833496
159,CRO is the best coin after Doge,2021-05-04,pos,0.9984151124954224
160,Doge ,2021-05-04,pos,0.5364559888839722
161,"If you go all in Doge, then yes",2021-05-04,pos,0.5843021869659424
162,Hi I sold dogecoin to fiat and it was accepted but still hasn't showed up in my fiat what's going on,2021-05-04,neg,0.9575490951538086
163,Hi I sold dogecoin to fiat and it was accepted but still hasn't showed up in my fiat what's going on,2021-05-04,neg,0.9575490951538086
164,I dont have doge,2021-05-04,neg,0.9402354955673218
165,Why can't we rally on doge coin?,2021-05-04,neg,0.6573806405067444
166,Doge is the highest rise. What's the worst coin?,2021-05-04,neg,0.9745425581932068
167,I withdraw my doge to fiat was accepted and still not showing in my account,2021-05-04,neg,0.9971808195114136
168,I withdraw my doge to fiat was accepted and still not showing in my account,2021-05-04,neg,0.9971808195114136
169,"Hello, I need help please. I sold my Dogecoin on crypto. Com. But I never received my fiat currency in exchange. Usually when I sell a crypto 30 seconds after the money is in my fiat wallet. This time I never got it. Can someone please help me? Thanks a lot",2021-05-04,neg,0.9110549688339233
170,"System, network, hatwork , backwork..DOGE IN 4",2021-05-04,neg,0.7944611310958862
171,Doge is coming up again,2021-05-04,neg,0.8886612057685852
172,Dogecoin I guess,2021-05-04,neg,0.7643243074417114
173,"Guys, would please explain how dogecoin jumped with 1100% increase in one year?",2021-05-04,neg,0.6871082782745361
174,How DOGE points work ?,2021-05-04,neg,0.887356162071228
175,doge btt dent,2021-05-04,neg,0.6939652562141418
176,I hate Doge! Stealer of market parts,2021-05-04,neg,0.9899489879608154
177,Doge next market cap,2021-05-04,pos,0.6449188590049744
178,You a doge guy  I can't trust you,2021-05-04,neg,0.8280327916145325
179,Buy doge.,2021-05-04,neg,0.7510010004043579
180,Dogecoin will rise to 1$?,2021-05-04,neg,0.8108429908752441
181,Doge ,2021-05-04,pos,0.5364559888839722
182,Doge very soon $ 1.,2021-05-04,neg,0.9705016613006592
183,Doge coin to the moon,2021-05-04,pos,0.6494200825691223
184,Doge good day,2021-05-04,pos,0.9677534699440002
185,Do you think it still worth it to buy doge now?,2021-05-04,pos,0.5901471376419067
186,Wil doge fall,2021-05-04,pos,0.558117687702179
187,Why dogecoin so high ?,2021-05-04,neg,0.8288703560829163
188,Doge might go some 10-20% dip before roaring back on 8th FNL,2021-05-04,neg,0.8762598037719727
189,do you think should I buy dogecoine?,2021-05-04,pos,0.6009765267372131
190,Any news about doge coin,2021-05-04,pos,0.7193301916122437
191,Will doge cross 1 usd,2021-05-04,neg,0.8642714023590088
192,What about Doge...?,2021-05-04,neg,0.7157233953475952
193,I had one comcern about Doge Coin,2021-05-04,neg,0.6414096355438232
194,After SNL doge will go down or up????,2021-05-04,neg,0.7736678123474121
195,And probably he is going to announce something big about doge coin,2021-05-04,neg,0.6508364081382751
196,holding doge,2021-05-04,pos,0.8144418597221375
197,I don't want to sell Doge till Saturday. I think it will be over 1 Dolar.,2021-05-04,neg,0.7489166855812073
198,When is DOGE expected to crash?,2021-05-04,neg,0.7353689074516296
199,Doge 10$,2021-05-04,pos,0.6144557595252991
200,Do you think doge will drop down?,2021-05-04,neg,0.6657446026802063
201,Doge sucking the market,2021-05-04,neg,0.7931172251701355
202,"Buy doge and hold. It's looking good for long term, trading companies have began exchanging for gift cards and meals. So it's looking promising for long term holding",2021-05-04,neg,0.8498954176902771
203,I bought a Doge coin for 30 cents and sold it for 65 cents. What should I buy now instead of a Doge coin?,2021-05-04,neg,0.9504106640815735
204,How can i buy dogecoin,2021-05-04,pos,0.5094231963157654
205,Buy doge. It's still on a bullish trend. But DYOR,2021-05-05,neg,0.8026039004325867
206,"What about dogecoin. Is that okay to buy now,, and what is the best position to sell",2021-05-05,pos,0.8965438008308411
207,"Absolutely centralized, a few addresses hold the majority of coins... DOGE like investing in USD or EUR. Maybe it's a good trade shortterm, but longterm... They're trying to distract people from valuable coins imo ",2021-05-05,neg,0.99041348695755
208,Ok bro i m investing in dogecoin,2021-05-05,neg,0.5963954925537109
209,"OMG, how can people suggest DOGE... Come on, how long are you into crypto? Maybe it's growing for a few days or weeks, you never know. But remember my words: you will lose a shitton of money longterm.",2021-05-05,neg,0.7935534715652466
210,How much is doge now?,2021-05-05,neg,0.6108527183532715
211,"Same here, still suggesting inflationary meme coins?  Take a look at total supply. Uncapped. How many new Doge are created on a daily basis... But as a trade I might agree. You never know how long stupidity will last ",2021-05-05,neg,0.77782142162323
212,Dogee UPP!!,2021-05-05,pos,0.7159188985824585
213,Dogecoin 1$?,2021-05-05,neg,0.9341815114021301
214,"I'm out for now. Hope some people read it and are at least a bit more cautious!
Capped coins, like bitcoin, vechain, cro, bnb and so on. They all have some sort of utility! Doge is just a joke. Master Elon said so too ",2021-05-05,neg,0.7598198652267456
215,"Before it was like a joke for doge owners, now everyone see like an opportunity to make money, I don't think anyone even cared doge had a progect",2021-05-05,neg,0.9963009357452393
216,"I
I bought some dogecoin in the year 2018 and store in faucet hub wallet but can't access it anymore and the information available is that the faucet hub wallet has been short down since 2019..what should I do? Is there any possibility of retrieving it back? Really need help please ",2021-05-05,neg,0.9914002418518066
217,Can doge coin touch 1 dollar in week ?,2021-05-05,neg,0.949815034866333
218,"Please do your own research or ask on their forum, there are also many dogecoin forums online that you can seek information from",2021-05-05,neg,0.8597956299781799
219,"In coinex I can't buy doge coin 
Why ?",2021-05-05,neg,0.9232213497161865
220,Dogecoin,2021-05-05,pos,0.7012883424758911
221,"Is ""ada"" also a crypto? I was thing of Dogecoin",2021-05-05,neg,0.9890733361244202
222,"How about Dogecoin 
Any idea",2021-05-05,neg,0.8723313808441162
223,"Hi there, I sold some Doge. But where do they go the ones I sold? I thought were goin to my ewallet",2021-05-05,neg,0.9647473096847534
224,Doge coin,2021-05-05,pos,0.7065467238426208
225,C non guys sell doge you re still in time... That's ridicoulous,2021-05-05,neg,0.9854549169540405
226,Dogecoin update,2021-05-05,pos,0.5813937187194824
227,Can any one suggest whether  to buy dogecoin or not,2021-05-05,pos,0.567741870880127
228,I think if it comes then it will be a bad thing for crypto - we need new money coming in and not people scared because they lost thousands with dogecoin. That would be really bad news,2021-05-05,neg,0.9981117248535156
229,"I think you have to take aware about doge, it is only market euphoria... Put some money on doge isn't investment for me, it's just buying a part of the doge community, the token have no bases...",2021-05-05,neg,0.9929184317588806
230,"If you want to buy to make money, i think  it's not a really good idea, there is a lot of awesome blockchain projects who just ask to grow, doge is just a joke, there is no background, buy doge is just buying a part of a community.",2021-05-05,neg,0.9863923192024231
231,"Just look at doge/btc chart week/monthly, and you can see the potential rekt. Positive, all that money will drag btc nicely",2021-05-05,pos,0.7356614470481873
232,should i invest in bitcoin or dogecoin,2021-05-05,neg,0.8027532696723938
233,Will dogecoin explode b4 SNL?,2021-05-05,neg,0.851517915725708
234,Can I buy dogecoin,2021-05-05,pos,0.8098939657211304
235," nope not interested in doge,
stop shilling a meme coin at people. Im sure it will go down as fast as it went up.",2021-05-05,neg,0.983068585395813
236,careful about predictions I just got an infraction for shilling DOGE$$$$$,2021-05-05,neg,0.9855491518974304
237,Doge ?,2021-05-05,neg,0.7300664782524109
238,"Here everyone is talking about doge 
What the shitttt",2021-05-05,pos,0.7709629535675049
239,Buy xrp now sell Doge lock profit now,2021-05-05,neg,0.9668176770210266
240,"Buy doge , it is set to increase 30 percent tomorrow",2021-05-05,neg,0.6948973536491394
241,Will doge still go,2021-05-05,neg,0.743903636932373
242,Doge is awesome but 9nly have 8% left now :(,2021-05-05,neg,0.9004892110824585
243,There's no limit on the amount of Doge coin you can buy for now,2021-05-05,neg,0.5186281204223633
244,Nice Doge,2021-05-05,pos,0.9787256717681885
245,What do u think about doge?,2021-05-05,pos,0.9113243222236633
246,Should i trade with dogecoin?,2021-05-05,neg,0.8535736799240112
247,Hey can anyone tell me doge value for tomorrow,2021-05-05,pos,0.7797005772590637
248,Is it good to buy doge now,2021-05-05,pos,0.9408931136131287
249,Did you sell your DOGE for fiat on the App or on the Exchange?,2021-05-05,neg,0.9606904983520508
250,What is expected price for doge by end of this week,2021-05-05,pos,0.8372079730033875
251,Beware of Doge,2021-05-05,neg,0.997327446937561
252, sell 3x long dogecoin,2021-05-05,neg,0.8338115811347961
253,Buy Dogecoin,2021-05-05,neg,0.7355376482009888
254," sell 3x long dogecoin

Can anyone check ??",2021-05-05,neg,0.9455694556236267
255,"Arsenal:
 sell 3x long dogecoin

Can anyone check ??",2021-05-05,neg,0.8542693257331848
256,Can you check if   sell 3x long dogecoin,2021-05-05,neg,0.6812255382537842
257,what is 3x long dogecoin?,2021-05-05,neg,0.9429358243942261
258," sell 3x long dogecoin

Can anyone check if it's available",2021-05-05,neg,0.9548401832580566
259,"Hi, you can trade DOGE with up to 50x leverage on the  Exchange ",2021-05-05,neg,0.8572114706039429
260,What about 3x long dogecoin ?,2021-05-05,neg,0.9012780785560608
261,You can long Dogecoin with up to 50x on the Exchange,2021-05-05,neg,0.7769120931625366
262,Its a coin bro . Name is 3x long dogecoin . I am not asking about dogecoin,2021-05-05,neg,0.9768733978271484
263,What about dogecoin,2021-05-05,pos,0.6027480363845825
264,Doge is down,2021-05-05,neg,0.8566791415214539
265,Sold the doge,2021-05-05,neg,0.7456350326538086
266,Any doge promocodes?,2021-05-05,neg,0.6870466470718384
267,Should i sold my dogecoin or hold it for few month or more,2021-05-05,neg,0.9587128758430481
268,What is happen to dogecoin?,2021-05-05,pos,0.7115381360054016
269,Doge up or not,2021-05-05,neg,0.7034363746643066
270,are you buying dogecoin?,2021-05-05,neg,0.618366539478302
271,doge up?,2021-05-05,neg,0.6249204874038696
272,is it good to buy doge coin?,2021-05-05,pos,0.9068434834480286
273,I bought dogecoin,2021-05-05,neg,0.5908473134040833
274,Is doge coin dumping?,2021-05-05,neg,0.9807755947113037
275,Wazirx..its not scam its due to server load of doge,2021-05-05,neg,0.7987090349197388
276,Dogecoin Sell or hold?,2021-05-05,neg,0.9583887457847595
277,Guys should i buy doge coin today?,2021-05-05,neg,0.7905310988426208
278,People here who do dogecoin?,2021-05-05,neg,0.5722990036010742
279,Dont buy doge anymore,2021-05-05,neg,0.9959608912467957
280,Only doge coin,2021-05-05,neg,0.6105656027793884
281,Doge prediction guys,2021-05-05,pos,0.8106446266174316
282,When do u think doge will reach 1$,2021-05-05,neg,0.5027419924736023
283,Anyone willing to donate dogecoin  pm me?,2021-05-05,neg,0.8842692375183105
284,Doge ko 8th may seh zyaada mat rakhna,2021-05-05,pos,0.6950145363807678
285,Will doge reach 10$,2021-05-05,neg,0.8571245670318604
286,Lol I'll even take doge coin,2021-05-05,neg,0.6950895190238953
287,Doge ,2021-05-05,pos,0.5364559888839722
288,Doge prediction,2021-05-05,pos,0.7480834722518921
289,Dogecoin is a crypto.,2021-05-05,neg,0.7904081344604492
290,What do you think about doge,2021-05-05,pos,0.935271143913269
291,i dont have any doge leh,2021-05-05,neg,0.5994353294372559
292,Any idea when will doge rise?,2021-05-05,neg,0.6454260945320129
293,"If doge listed next days on coinbase, boom. Coinbase effect +30%. Think about it",2021-05-05,neg,0.9757862687110901
294,Doge hold or sell,2021-05-05,neg,0.5724406242370605
295,Buy doge now or wait?,2021-05-05,neg,0.7969576716423035
296,Check tokenomics of dogecoin before buying.,2021-05-05,neg,0.9596759676933289
297,Will doge coin keep going down or it will rise,2021-05-06,neg,0.8071457147598267
298,HOLDING DOGE OR NOT,2021-05-06,neg,0.9711969494819641
299,Dogecoin,2021-05-06,pos,0.7012883424758911
300,Is time doge coin buy krna shi hoga kya,2021-05-06,neg,0.9639707207679749
301,Dogecoin going down,2021-05-06,neg,0.9318515658378601
302,Any predictions for Dogecoin for next 24 hrs ?,2021-05-06,neg,0.7222208976745605
303,Is it ok if I buy doge this time?,2021-05-06,neg,0.9765183329582214
304,I had money invested in doge and today its in tether but i had no orders set. Please help. No dm's please,2021-05-06,neg,0.9941895008087158
305,"Dogecoin , bitcoin , ethereum",2021-05-06,neg,0.5372346043586731
306,Farman doge up jayega kya,2021-05-06,pos,0.6813167929649353
307,Was listen to a channel and they were say doge need to watch out there are 3 main doge holders if just one sells their stake doge will shit it's self be back down to cents,2021-05-06,pos,0.5548623204231262
308,"Guys invest in doge trio Akita, shib, elon",2021-05-06,pos,0.6825695633888245
309,"Invest in akita, shib, elon",2021-05-06,neg,0.7102229595184326
310,should i buy doge now?,2021-05-06,neg,0.787068247795105
311,What about doge i had buyed at 55,2021-05-06,pos,0.8410302400588989
312,"This is a group about , not DOGE",2021-05-06,neg,0.9790442585945129
313,What if i have only 100dogecoins,2021-05-06,pos,0.9078422784805298
314,Any prediction on DOGE??,2021-05-06,neg,0.876173734664917
315,what really happens to dogecoin ? on may 8th or 9th ???,2021-05-06,neg,0.7015292048454285
316,Any One have idea for DOGE coins hold or sell?,2021-05-06,neg,0.8970182538032532
317,May i hav any update for doge coin...!,2021-05-06,pos,0.6441903710365295
318,So wasnt aware abt doge,2021-05-06,neg,0.9561026096343994
319,Yeah he ll speak about doge coin,2021-05-06,neg,0.6711181402206421
320,Ok is DOGE about to fall?,2021-05-06,neg,0.9190012812614441
321,Can I not discuss doge is it against guidelines?,2021-05-06,neg,0.6406650543212891
322,What's your take on Dogecoin?,2021-05-06,pos,0.7460516691207886
323,Doge will go up because people are going to buy more doge in dip,2021-05-06,neg,0.6019539833068848
324,I've shorted doge,2021-05-06,neg,0.9299086332321167
325,doge is falling,2021-05-06,neg,0.9362106919288635
326,will doge raise .??,2021-05-06,neg,0.6950680017471313
327,Suggest me doge coin is better this tyM,2021-05-06,neg,0.8906722068786621
328,Doge news is fake or real??,2021-05-06,neg,0.9878084659576416
329,"You guys are crazyy
You took 50 doge fees from a withdrawl of 100$ 
Is it normal??",2021-05-06,neg,0.916623592376709
330,Doge has been disappointing today,2021-05-06,neg,0.9893763065338135
331,Plz stop barking about doge,2021-05-06,neg,0.7921119332313538
332,DOGE IS TRASH,2021-05-06,neg,0.9967148303985596
333,"Please ask in the DOGE groups, not here",2021-05-06,neg,0.9872296452522278
334,Does  have dogecoin mining option,2021-05-06,neg,0.8900541067123413
335,"Guys, this is my first time here. What are your predictions about doge coin ?",2021-05-06,pos,0.927808940410614
336,What about doge ?,2021-05-06,neg,0.5338643789291382
337,Io ho comprato un po' di doge e ho l app da un po' di tempo,2021-05-06,pos,0.7424019575119019
338,Please tell about doge,2021-05-06,neg,0.9460027813911438
339,dont sell doge,2021-05-06,neg,0.9955060482025146
340,What's gona happen to doge any prediction,2021-05-06,pos,0.9756751656532288
341,should i buy doge ?,2021-05-06,neg,0.7064340710639954
342,Just to have 1000 so when doge hit dollar,2021-05-06,pos,0.8272794485092163
